gamma_eff_over_gf,tau_Q,E_B_max_over_omega0F2,P_B_max_over_omega0F2,t_at_E_B_max,t_at_P_B_max
0.0001,4.184288507901583,28.062598165514757,4.729322628272281,5.984340076502936,5.875928136711217
0.0001,4.738879609717656,34.07855129163569,5.270385588732698,6.505582011238954,6.417964758562335
0.0001,5.366976945540476,41.64175807249601,5.885512065140567,7.11196549720628,7.023342886649193
0.0001,6.07832312829723,51.16281091658811,6.585083206890095,7.8092271307112595,7.741906215791335
0.0001,6.8839520696455,63.16291924133274,7.379872823836506,8.58153343427625,8.536008063272133
0.0001,7.796360130405237,78.33237466021795,8.282395658208143,9.48239685572875,9.43614126618861
0.0001,8.829699955494092,97.51439607959897,9.306803382240732,10.4994190608845,10.452336468683225
0.0001,10.0,121.80847091549346,10.467501621034243,11.668668272509002,11.62064906562625
0.0001,11.325413151528126,152.62408753691417,11.78455743279389,12.981650871211835,12.93257090950593
0.0001,12.826498305280612,191.7597743641268,13.276472812372253,14.455877730906902,14.430737075722716
0.0001,14.526539259467812,241.47552192630965,14.967454057631238,16.16391174446853,16.112269857106007
0.0001,16.451905877536625,304.7592515265221,16.882870575730887,18.05556058857438,18.02896919006396
0.0001,18.6324631193156,385.38451415266275,19.054672278657506,20.240947211258742,20.213483240822843
0.0001,21.102034285685967,488.0722938703678,21.513378299381365,22.70485196517703,22.676399770985082
0.0001,23.898925662310504,619.048208573843,24.297107689974055,25.490546441741362,25.460975043317067
0.0001,27.06652070033241,786.1604389525761,27.44859586367415,28.649379472032336,28.618540528574822
0.0001,30.653952950565298,999.2772655124152,31.022509929882304,32.24221708588025,32.20994259530379
0.0001,34.71686818926563,1271.9142106926327,35.06472189434242,36.273329488401046,36.273329488401046
0.0001,39.3182875570577,1619.9214257369497,39.63965722063448,40.88840428982553,40.852662678558204
0.0001,44.529585099426555,2065.2072345416,44.82443756987951,46.073243670308734,46.073243670308734
0.0001,50.431594871713585,2634.169950129918,50.692202249164474,51.9640069528314,51.9640069528314
0.0001,57.11586478126435,3361.821304624926,57.332513518838915,58.63725656333319,58.63725656333319
0.0001,64.68607661546328,4292.153597254789,64.81486262139823,66.22329316211024,66.17740037474911
